Article Name,Link,Meta Text,Date,,
The resurgence of Bombay Gas,https://www.livemint.com/Industry/CJECX0ogKOqSQ2B2dMF4uI/The-resurgence-of-Bombay-Gas.html,Bombay Gas is using its pipeline network that can offer seamless connectivity and broadband coverage to customers of telecom companies,"January 11, 2016",,
"Looking to put up 40,000 small cells from 4,000 in next 5 years: CloudExtel CEO",https://telecom.economictimes.indiatimes.com/news/cloudextel-deploys-4000-small-cell-sites-for-telcos-kunal-bajaj/92327902,"""We are looking at our base growing from 4000 small cells to 40000 small cell sites in the next five years. That's a conservative projection, obviously, we believe and hope that we can do a lot more than that, but that will require well over 400-500 crores for us to really pull that off, and that's where the opportunity to scale and build a substantial network,"" said Bajaj.","June 20, 2022",,
Small cells to play a major role in Indian telcos' network expansion: CloudExtel,https://telecom.economictimes.indiatimes.com/news/small-cells-to-play-a-major-role-in-indian-telcos-network-expansion-cloudextel/92343443,"""The small cell sites that exist today across the country are addressing the challenges being faced by the 4G network. And certainly, you will continue to see a lot of growth driven even just by 4G, before 5G starts becoming mainstream. And so even in the next few years, we continue to see small cells playing a major role in how network expansion and network investments are going to be done by all three of the telecom operators,"" Bajaj said.","June 20, 2022",,
CloudExtel appoints former Vodafone Idea exec Deepak Saxena as SVP of wireline services,https://telecom.economictimes.indiatimes.com/news/cloudextel-appoints-former-vodafone-idea-exec-deepak-saxena-as-vp-of-wireline-services/92428645,"""We are delighted to welcome Deepak Saxena as Senior Vice President, Wireline Services. He will be a part of the core leadership team of CloudExtel and will be responsible for scaling and accelerating NaaS for Telecom Service Providers (TSPs), Internet Service Providers (ISPs), data centres, and prominent OTT players,"" the firm said in an update on Linkedin.","June 24, 2022",,
New tech to help provide faster internet access on Mumbai's rail network,https://telecom.economictimes.indiatimes.com/news/new-tech-to-help-provide-faster-internet-access-on-mumbais-rail-network/93764674,"The company's founder and chief executive Kunal Bajaj said it has already fixed up the equipment at the Mumbai Central railway station, and claimed that the results have been very satisfactory with higher data speeds.","August 25, 2022",,
India’s first neutral shared RAN solution launched at Mumbai Central railway station,https://www.livemint.com/news/india/indias-first-neutral-shared-ran-solution-launched-at-mumbai-central-railway-station-11661471905586.html,The success of the shared RAN solution holds promises for the customers of such highly populated and highly crowded areas to have better mobile data usage experience,"August 26, 2022",,
"RailTel, CloudExtel partners to launch India's first neutral Shared RAN solution",https://cio.economictimes.indiatimes.com/news/corporate-news/railtel-cloudextel-partners-to-launch-indias-first-neutral-shared-ran-solution/93790208,"RailTel, a CPSU of the Ministry of Railways and CloudExtel, a known Full Stack Network as a Service (NaaS) Provider have partnered together to launch India's first Shared Radio Access Network (RAN) solution for congested locations with the objective of enhancing telecom users' experience.","August 26, 2022",,
This startup is using abandoned gas pipelines from 1800s to ease telecom traffic via network as a service,https://www.businessinsider.in/business/startups/this-startup-is-using-abandoned-gas-pipelines-from-1800s-to-ease-telecom-traffic-via-network-as-a-service/articleshow/96809621.cms,"CloudExtel took over old gas pipelines, excavated and cleaned them and laid over 200 kilometres of fibre in South Bombay…","January 7, 2023",,
This business is utilizing abandoned gas pipelines from the 1800s to help with telecom traffic via network as a service,https://www.businessoutreach.in/gas-pipelines-from-the-1800s-to-help/,"CloudExtel installed 4000 small cell sites throughout 325 cities and towns, in addition to building over 4000 kilometers of fiber across…","January 7, 2023",,
Macquarie Capital invests $100 mn in India's CloudExtel to pick up majority stake,https://telecom.economictimes.indiatimes.com/news/telecom-equipment/macquarie-capital-invests-100-mn-in-indias-cloudextel-to-pick-up-majority-stake/100177463,"“With the rapid growth of digitalisation, better network coverage and capacity is essential to enabling people to stay connected. We are excited to leverage our global experience to support CloudExtel in expanding their telecommunications portfolio as well as enhancing the quality and effectiveness of connectivity for local communities across India,” said Ivan Varughese, senior managing director and head of infrastructure and energy capital, Asia Pacific, Macquarie Capital.","May 12, 2024",,
Macquarie takes control of CloudExtel,https://www.livemint.com/companies/news/macquarie-capital-acquires-controlling-stake-in-cloudextel-for-100m-expanding-telecom-infrastructure-in-india-11683826715215.html,"CloudExtel plans substantial scale up of its infrastructure services over the next five years. The investments will be channelled towards small cell site hosting business and equally into expanding the fiber network, both underground and overhead, fiber-to-the-home, and into active infrastructure sharing.","May 11, 2023",,
Macquarie Capital acquires majority stake in CloudExtel for $100m,https://www.thehindubusinessline.com/info-tech/macquarie-capital-acquires-majority-stake-in-cloudextel-for-100m/article66841575.ece,,"May 12, 2023",,
Macquarie Capital acquires majority stake in CloudExtel in India,https://www.moneycontrol.com/news/business/macquarie-capital-acquires-majority-stake-in-cloudextel-in-india-10571191.html,CloudExtel’s management will remain unchanged post the deal though the workforce count is expected to rise from 350 to about 1000 over the next five years.,"May 12, 2023",,
Macquarie acquires majority stake in CloudExtel,https://yourstory.com/2023/05/macquarie-acquires-majority-stake-in-cloudextel,Macquarie Capital has invested $100 million in network service provider CloudExtel for a majority stake in the company.,"May 12, 2023",,
"Macquarie Capital-owned CloudExtel to expand infra by five-fold for 4G, 5G, data centres",https://telecom.economictimes.indiatimes.com/news/telecom-equipment/macquarie-capital-owned-cloudextel-to-expand-infra-by-five-fold-for-4g-5g-data-centres/108326923,"Reliance Jio and Airtel are close to concluding their pan-India fifth-generation network rollouts, while Vi is yet to rollout 5G commercially. ""It is very important for the country to have a solid three operator ecosystem, because that's important for consumer competition, innovation, and for investment into infrastructure,"" he said.","March 8, 2024",,
CloudExtel to boost network capacity by 5 times to aid telcos in 4G/5G expansion: CEO Kunal Bajaj,https://www.techcircle.in/2024/04/01/cloudextel-to-boost-network-capacity-by-5-times-to-aid-telcos-in-4g-5g-expansion-ceo-kunal-bajaj,"Mumbai-based Network-as-a-Service provider CloudExtel?, on Wednesday said, it has received Rs 150 crore in external debt from NIIF Infrastructure Finance Limited, and an additional Rs 50 crore from Aditya Birla Finance Limited to grow its market presence in fibre and small cells deployment.  The company has also received a first-time credit rating of ‘A-’ from CARE Ratings Limited.","April 1, 2024",,
Neutral Host & Infra Sharing Project Group charter approved by TIP board of directors,https://www.telecomtv.com/content/access-evolution/neutral-host-infra-sharing-project-group-charter-approved-by-tip-board-of-directors-50110/amp/,The TIP Board of Directors recent approval of the Neutral Host & Infra Sharing Project Group’s (Neutral Host PG) charter has paved the way for an ambitious set of initiatives for 2024.,"April 9, 2024",,
Network-as-a-service provider CloudExtel raises Rs 200  crore debt,https://economictimes.indiatimes.com/tech/funding/network-as-a-service-provider-cloudextel-raises-rs-200-crore-debt/articleshow/109558788.cms,"CloudExtel secures funding with investments from Macquarie Capital, Advencap. Expansion focus on fiberized towers, data centers, FTTH in top cities.","April 24, 2024",,
CloudExtel secures Rs 200-crore external debt funding,https://telecom.economictimes.indiatimes.com/news/telecom-equipment/cloudextel-secures-rs-200-crore-external-debt-funding/109557551,"The company said the capital infusion is a testament to the scalability and viability of NaaS, its financial stability, governance and long-term stability.","April 24, 2024",,
CloudExtel raises external debt from NIIF IFL and ABFL,https://yourstory.com/2024/04/cloudextel-raises-external-debt-niif-ifl-abfl-macquarie-advencap,Macquarie Capital-backed network as a service provider CloudExtel has raised Rs 200 crore in debt from NIIF IFL and ABFL.,"April 24, 2024",,
Network-as-a-service provider CloudExtel secures Rs 200 cr external debt,https://www.techcircle.in/2024/04/24/network-as-a-service-provider-secures-rs-200-cr-external-debt,,"April 24, 2024",,
CloudExtel garners external credit rating of CARE A- for its debut debt fundraise of Rs 2 billion from NIIF IFL and ABFL,https://tele.net.in/cloudextel-garners-external-credit-rating-of-care-a-for-its-debut-debt-fundraise-of-rs-2-billion-from-niif-ifl-and-abfl/,,"April 24, 2024",,
"Telecom infrastructure sharing may spur gear sharing too, experts say",https://economictimes.indiatimes.com/industry/telecom/telecom-news/telecom-infrastructure-sharing-may-spur-gear-sharing-too-experts-say/articleshow/110426724.cms?from=mdr,"The current scenario could change with Telecom Regulatory Authority of India (Trai) recommending creating a separate category under the unified license for Digital Connectivity Infrastructure Provider (DCIP) authorisation. ""...the proposed DCIP authorisation holder may create both active and passive digital connectivity infrastructure and share it with other TSPs and has to pay no license fee to the government,"" Trai said in its recommendations last month.","May 25, 2024",,
India’s CloudExtel ramps small cell and fiber infra as digital economy booms,https://www.fierce-network.com/wireless/indias-cloudextel-ramps-small-cell-and-fiber-infra-digital-economy-booms,"CloudExtel, a digital infrastructure provider, is targeting a growth of around 50% as it plans to invest heavily in fiber and small cells network. (Art by Midjourney for Fierce)","July 18, 2024",,
"ODIN Roundup Week 30 – RAN down, Open RAN up, AT&T, lots of RIC, the view from Vietnam, White Papers, Private Networks and more!",https://odinews.tech/odin-roundup-week-30-ran-down-open-ran-up-att-and-more/,,"July 31, 2024",,
Revolutionising India’s Telecom Infrastructure with Shared RAN,https://www.voicendata.com/interview/revolutionising-indias-telecom-infrastructure-with-shared-ran-6935413,"CloudExtel is enhancing India's telecom landscape through shared RAN infra, small cells, and fibre expansion, addressing growing connectivity demands nationwide.","August 29, 2024",,
CloudExtel enhances network experience with innovative RAN solution,https://telecomlead.com/telecom-equipment/cloudextel-enhances-network-experience-with-innovative-ran-solution-118415#google_vignette,"
CloudExtel is revolutionizing connectivity in urban environments with its innovative Shared RAN solution, significantly improving network experiences for millions of users.","October 9, 2024",,
CloudExtel extols neutral host transformation on Mumbai railway,https://the-mobile-network.com/2024/10/cloudextel-extols-neutral-host-transformation-on-mumbai-railway/,Neutral host solution transforms customer experience for Mumbai commuters - here's how.,"October 10, 2024",,
,,,,,
,,,,,
Podcasts,,,,,
What It Takes To Build A Disruptive Enterprise Ft. Kunal Bajaj and Vivek Saxena ,https://www.youtube.com/watch?v=MC5uhEY4EjU&t=442s,Podcast,"August 27, 2024",,
